Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
26/08/2016,04/01/1900,Mobikwik,FinTech,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,40000000,http://www.Mobikwik.com
26/08/2016,02/01/1900,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,,https://crownit.in/
26/08/2016,01/01/1900,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000,http://mydidi.in/
25/08/2016,04/01/1900,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,24000000,http://www.zoomcar.com
25/08/2016,01/01/1900,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,3000000,http://www.cultfit.in/
25/08/2016,01/01/1900,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,,http://blink.watch/
25/08/2016,01/01/1900,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,  Arpan Nagdeve",Seed Funding,,https://nearfox.com/
25/08/2016,01/01/1900,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,,https://www.engineerbabu.com/
24/08/2016,01/01/1900,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,,http://www.shaadisaga.com/
24/08/2016,01/01/1900,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,,http://www.beyondevolution.in/
24/08/2016,01/01/1900,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,100000,https://www.adveniotecnosys.com/
24/08/2016,01/01/1900,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,500000,http://www.guarented.com/
24/08/2016,01/01/1900,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,  Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000,https://unacademy.in/
24/08/2016,01/01/1900,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,500000,
24/08/2016,02/01/1900,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,900000,http://convegenius.in/
24/08/2016,01/01/1900,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000000,http://www.Urbanladder.com
24/08/2016,01/01/1900,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,,
23/08/2016,01/01/1900,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000,
23/08/2016,01/01/1900,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,,
23/08/2016,01/01/1900,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,100000,http://www.notesgen.com/
23/08/2016,01/01/1900,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,,http://tacsecurity.co.in/
22/08/2016,01/01/1900,Puro Wellness,Healthcare,"Organic,  Natural  Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,37000000,
22/08/2016,01/01/1900,Zzungry,Consumer Internet,Online Food Delivery,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,,
22/08/2016,03/01/1900,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,,https://www.fitternity.com/
19/08/2016,01/01/1900,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,375000,https://www.digio.in/
19/08/2016,03/01/1900,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,20000000,http://www.quikr.com/
19/08/2016,01/01/1900,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,,http://www.ziffity.com/
18/08/2016,01/01/1900,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,,http://www.sesameindia.com/
18/08/2016,07/01/1900,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,,http://www.meesho.com/
17/08/2016,01/01/1900,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000,https://www.appknox.com/
17/08/2016,01/01/1900,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,375000,
17/08/2016,02/01/1900,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,,http://www.pikkol.com/
17/08/2016,01/01/1900,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,,http://gozipi.com/
16/08/2016,01/01/1900,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,,
16/08/2016,01/01/1900,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000,
16/08/2016,01/01/1900,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000,http://www.makkajai.com/
16/08/2016,02/01/1900,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,1500000,
16/08/2016,01/01/1900,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,175000000,https://get.hike.in/
16/08/2016,09/01/1900,OYO Rooms,Consumer Internet,Hotel Aggregator Platform,New Delhi,SoftBank Group,Private Equity,62000000,https://www.oyorooms.com/
16/08/2016,03/01/1900,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,,http://www.zappfresh.com/
15/08/2016,02/01/1900,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,,https://buttercups.in/
12/08/2016,02/01/1900,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000,http://www.innovaccer.com/
12/08/2016,02/01/1900,Faircent.com,Fintech,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,1500000,http://dealstreetasia.com/tag/faircent
12/08/2016,02/01/1900,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000,http://www.crofarm.com/
12/08/2016,01/01/1900,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,500000,http://cuberoot.co/
12/08/2016,01/01/1900,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,,https://play.google.com/store/apps/details?id=com.funcastic.news&hl=en
11/08/2016,02/01/1900,91SpringBoard,Co-working Spaces,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,,http://www.91springboard.com/
11/08/2016,02/01/1900,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000,http://www.travelyaari.com/
11/08/2016,02/01/1900,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000,http://www.zenoti.com/
11/08/2016,01/01/1900,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,209000,http://www.genextstudents.com/
10/08/2016,03/01/1900,Bombay Shaving Company,eCommerce,Men’s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000,https://www.bombayshavingcompany.com/
10/08/2016,02/01/1900,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000,http://vebbler.com/
09/08/2016,01/01/1900,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,http://respiron.in/
09/08/2016,02/01/1900,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,http://www.mobident.in/
08/08/2016,02/01/1900,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,200000,http://zipgrid.co/
08/08/2016,01/01/1900,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,445000,https://www.mojarto.com/
08/08/2016,01/01/1900,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,40000,http://www.weflyindia.co.in/
08/08/2016,01/01/1900,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,,http://www.adpushup.com/
06/08/2016,01/01/1900,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27000,
05/08/2016,01/01/1900,Tricog,HealthTech,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,,http://tricog.com/
04/08/2016,02/01/1900,Petoo,Consumer Internet,Online Food Delivery,Bangalore,Existing Investors,Seed Funding,500000,https://petoo.in/
04/08/2016,01/01/1900,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,,
03/08/2016,01/01/1900,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,890000,http://flickbay.com/
03/08/2016,01/01/1900,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,225000,http://www.extracarbon.com/
03/08/2016,01/01/1900,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,,http://xcode.in/
02/08/2016,01/01/1900,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000,http://www.yumlane.in/
02/08/2016,02/01/1900,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,,http://www.dailyninja.in/
02/08/2016,02/01/1900,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000,https://sheroes.in/
01/08/2016,06/01/1900,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,200000,http://www.medinfi.com/
01/08/2016,01/01/1900,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000,https://www.healthkart.com/
01/08/2016,01/01/1900,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,275000,http://www.repaireasy.in/
01/08/2016,04/01/1900,Voonik,eCommerce,Online Women’s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,3000000,http://www.voonik.com/
01/08/2016,01/01/1900,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500000,http://www.tokri.com/home/login
29/07/2016,01/01/1900,Lemon Leaf,Technology,Fresh Fruit and Vegetable Supply Chain Tech Builder,New Delhi,"Saurabh Sahni, Tushar Gupta",Seed Funding,133000,
29/07/2016,01/01/1900,Fella Homes,Consumer Internet,Home Rental discovery & Booking platform,Gurgaon,Undisclosed investors,Seed Funding,2000000,http://www.fellahomes.com/
29/07/2016,01/01/1900,Appsay,Consumer Internet,Customer Engagement Platform,Pune,"Shreyans Shah, Mayank Shah",Seed Funding,150000,http://www.appsay.co/
29/07/2016,01/01/1900,GoCoop,eCommerce,Social Marketplace for Cooperative Enterprises,Bangalore,"Kris Gopalakrishnan, Saha Fund",Private Equity,830000,http://gocoop.com/
29/07/2016,01/01/1900,HelloDhobi,Consumer Internet,On-Demand Laundry & Dry cleaning Services,Pune,Swastika Company Ltd,Seed Funding,,http://www.hellodhobi.com/
28/07/2016,02/01/1900,Tiyo,Consumer Internet,Doctor Discovery & healthcare info platform,Kolkata,"Anish K, Ajith Nair",Seed Funding,120000,https://tiyo.in/
28/07/2016,02/01/1900,MaxWholesale,eCommerce,B2B Wholesale Marketplace,New Delhi,"Maple Capital Advisors, Abhinav Grover",Seed Funding,150000,http://maxwholesale.in/
28/07/2016,01/01/1900,Modasta,Consumer Internet,Multi-lingual health content portal,Bangalore,Undisclosed HNIs,Seed Funding,1500000,http://www.modasta.com/
28/07/2016,01/01/1900,Neuron,Technology,Machine Learning Platform,New Delhi,"Harvinder Singh Bhatia, TLabs Accelerator",Seed Funding,200000,
27/07/2016,01/01/1900,Mezi,Consumer Internet,AI based personal Shopping Assistant,SFO,"Nexus Venture Partners, Saama Capital, American Express Ventures",Private Equity,9000000,http://www.gomezi.com
27/07/2016,02/01/1900,IStyleyou,Consumer Internet,Online Fashion Styling & Chat app,Gurgaon,Rannvijay Singh,Seed Funding,,http://istyleyou.in/
27/07/2016,01/01/1900,Square Plums,Consumer Internet,Shared Accommodation Discovery platform,Bangalore,Indian Angel Network,Seed Funding,446000,http://www.squareplums.com/
27/07/2016,01/01/1900,Byndr,Consumer Internet,Mobile learning management platform,Hyderabad,Education Design Studio,Seed Funding,700000,http://byndr.in/
26/07/2016,01/01/1900,Big Deal,Consumer Internet,Student Deals Discovery Platform,New Delhi,EVC Ventures,Seed Funding,100000,
26/07/2016,01/01/1900,e27,Consumer Internet,Online Tech Media Portal,Singapore,TechTemple Group,Private Equity,2200000,https://e27.co/
26/07/2016,01/01/1900,Zoom Car,Consumer Internet,Self Driver Car Rentals,Bangalore,"Ford Motor Company, Sequoia Capital, Reliance Ventures",Private Equity,25000000,http://www.zoomcar.com
26/07/2016,01/01/1900,WakoW,Consumer Internet,Hyperlocal Interest based Mobile Social Network,New Delhi,Undisclosed Investor,Seed Funding,141000,
25/07/2016,03/01/1900,Lucideus,Technology,Cyber Security Solutions,New Delhi,Sanjay Baweja,Seed Funding,,http://www.lucideus.com/index.html
25/07/2016,01/01/1900,10i Commerce Services,Technology,ECommerce Technology Solutions,Bangalore,Nandan Nilekani,Seed Funding,,http://10i.co.in/
25/07/2016,01/01/1900,QDesk,Consumer Internet,Online Workspace provider,New Delhi,"Anuraag Jaipuria, Rishi Kajaria, Ruchirans Jaipuria, Dheeraj Jain, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,,https://www.qdesq.com/
25/07/2016,01/01/1900,QwikCilver,Consumer Internet,Gift Card Services Provider,Bangalore,"Sistema Asia Fund, Amazon Asia-Pacific, Accel India, Helion Venture Partners",Private Equity,10000000,https://qwikcilver.com/
22/07/2016,01/01/1900,Skrilo,Consumer Internet,Mobile Marketing & Rewards Platform,Gurgaon,"Anuj Srivastava, Arvind Tiku",Seed Funding,1500000,https://www.skrilo.com/
22/07/2016,03/01/1900,UrDoorStep,eCommerce,On-demand Grocery delivery portal,Bangalore,CP Murali,Seed Funding,300000,http://www.urdoorstep.com/
22/07/2016,01/01/1900,SimplyMoveIn,eCommerce,online marketplace for curated rental properties,Bangalore,Swastika Company Ltd,Seed Funding,,https://www.simplymovein.com/
22/07/2016,02/01/1900,Treebo Hotels,Consumer Internet,Budget Hotel Aggregator & Booking platform,Bangalore,"Bertelsmann India Investments, SAIF Partners, Matrix Partners India. ",Private Equity,16700000,http://dealstreetasia.com/tag/treebo
21/07/2016,01/01/1900,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners

",Private Equity,6600000,
21/07/2016,01/01/1900,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,595000,https://www.wiwigo.com/
21/07/2016,01/01/1900,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,,http://www.aberuk.com/
21/07/2016,03/01/1900,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,1000000,http://www.mytaxiindia.com/
20/07/2016,01/01/1900,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000,http://www.truckola.in/
20/07/2016,01/01/1900,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,,http://www.iservefinancial.com/
20/07/2016,01/01/1900,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000,https://tax2win.in/
19/07/2016,02/01/1900,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000,
19/07/2016,01/01/1900,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,1000000,
19/07/2016,01/01/1900,Deal4Loans / Wishfin,Consumer Internet,"
Loans Comparison platform



",Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000,http://www.deal4loans.com/
19/07/2016,01/01/1900,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000,http://www.sagacito.com/
18/07/2016,01/01/1900,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,650000,http://www.zuppler.com/
18/07/2016,01/01/1900,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000,http://bluestone.com/
18/07/2016,01/01/1900,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,650000,https://www.yellowdig.com/
18/07/2016,01/01/1900,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,,
18/07/2016,01/01/1900,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,,
15/07/2016,02/01/1900,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,,http://www.satvacart.com/
15/07/2016,01/01/1900,BaggOut,eCommerce,Women’s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,,http://baggout.com/
15/07/2016,02/01/1900,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,250000,http://www.tripshelf.com/
15/07/2016,01/01/1900,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,2000000,https://www.bankerbay.com/
15/07/2016,01/01/1900,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000,http://ridlr.in/
15/07/2016,01/01/1900,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000,https://www.workapps.com/
14/07/2016,01/01/1900,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,,http://www.transtutors.com/
14/07/2016,01/01/1900,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000,http://www.shoppinpal.com/
14/07/2016,01/01/1900,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000,http://www.augrav.com/
13/07/2016,03/01/1900,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,1350000,https://play.google.com/store/apps/details?id=in.mohalla.sharechat&hl=en
13/07/2016,01/01/1900,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,5000000,http://www.yaap.in/
13/07/2016,01/01/1900,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,,http://www.utoorides.com/
13/07/2016,02/01/1900,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000,http://twigly.in/
13/07/2016,02/01/1900,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,,http://cityfurnish.com/
13/07/2016,02/01/1900,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,,
13/07/2016,01/01/1900,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,5000000,https://www.rentomojo.com/
13/07/2016,01/01/1900,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,,http://www.thehealinstitute.in/
12/07/2016,01/01/1900,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,  Times Internet",Private Equity,,http://www.mintm.com/
12/07/2016,02/01/1900,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,,https://www.gyandhan.com/
12/07/2016,01/01/1900,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,12250000,http://www.sirionlabs.com/
12/07/2016,01/01/1900,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,,http://www.higrit.com/
12/07/2016,01/01/1900,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,,
11/07/2016,01/01/1900,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000,http://www.overcart.com/
11/07/2016,01/01/1900,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,3500000,http://www.trakntell.com/
11/07/2016,02/01/1900,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000,http://purplle.com/
08/07/2016,06/01/1900,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000,
08/07/2016,03/01/1900,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,,https://www.getpitstop.com/
07/07/2016,01/01/1900,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,,http://www.spectravr.com/
07/07/2016,02/01/1900,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,,
07/07/2016,01/01/1900,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000,http://www.adytude.com/
07/07/2016,01/01/1900,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000,
06/07/2016,01/01/1900,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000,https://www.weddingwishlist.com/
06/07/2016,01/01/1900,Don’t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000,http://www.dsyh.in/
06/07/2016,01/01/1900,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000,http://HappilyUnmarried.com
05/07/2016,01/01/1900,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000,http://www.BookMyShow.com
05/07/2016,01/01/1900,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund  & Others,Private Equity,1000000,
05/07/2016,02/01/1900,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain",Seed Funding,1700000,http://flyrobe.com/
04/07/2016,01/01/1900,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,,https://www.fulfil.io/
04/07/2016,01/01/1900,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000,http://grab.in
04/07/2016,04/01/1900,Curefit,HealthTech,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000,http://www.curefit.com/
04/07/2016,01/01/1900,NeoGrowth,FinTech,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000,https://www.neogrowth.in/
04/07/2016,01/01/1900,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,,https://www.wealthtrust.in/
04/07/2016,02/01/1900,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000,
02/07/2016,01/01/1900,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,700000,https://playment.in/
01/07/2016,01/01/1900,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,,
01/07/2016,01/01/1900,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000,http://venturecatalysts.in/
01/07/2016,03/01/1900,DarwinBox,B2B SaaS,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,,
